Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	AF233GP	AFR233G
NULL	NULL	AF233WL	AF4233
NULL	NULL	AF234BH	AF4234
NULL	NULL	AF234FW	AF6234
NULL	NULL	AF234TC	AF6234
NULL	NULL	AF235UQ	AF4235
NULL	NULL	AF235VX	AF6235
NULL	NULL	AF235YJ	AF6235
NULL	NULL	AF237GP	AF6129
NULL	NULL	AF237MP	AF6237
NULL	NULL	AF238FW	AF6238
NULL	NULL	AF238TC	AF6238
NULL	NULL	AF239DX	AF6239
NULL	NULL	AF239FP	AFR239F
NULL	NULL	AF240UZ	AF1821
NULL	NULL	AF240WC	AF6240
NULL	NULL	AF241QX	AF6241
NULL	NULL	AF241VX	AFR241V
NULL	NULL	AF243FP	AF6243
NULL	NULL	AF243GP	AF6243
NULL	NULL	AF244GG	AF6244
NULL	NULL	AF244MW	AF6018
NULL	NULL	AF245GP	AF6245
NULL	NULL	AF245YE	AF6245
NULL	NULL	AF246TC	AF6246
NULL	NULL	AF247DX	AF6247
NULL	NULL	AF247VX	AF6247
NULL	NULL	AF248FW	AF6248
NULL	NULL	AF248MW	AF6248
NULL	NULL	AF248WC	AF6248
NULL	NULL	AF249FP	AF6249
NULL	NULL	AF249VX	AF6249
NULL	NULL	AF250AG	AF6250
NULL	NULL	AF250FC	AF6223
NULL	NULL	AF251YQ	AF4251
NULL	NULL	AF252FN	AF4002
NULL	NULL	AF252NV	AF6252
NULL	NULL	AF253LS	AF6253
NULL	NULL	AF255YQ	AFR255Y
NULL	NULL	AF255ZL	AF6255
NULL	NULL	AF257QS	AF6257
NULL	NULL	AF258AG	AF6258
NULL	NULL	AF259YQ	AF4259
NULL	NULL	AF261LS	AF6261
NULL	NULL	AF262RL	AFR262R
NULL	NULL	AF263ZL	AF6263
NULL	NULL	AF264GX	AF6264
NULL	NULL	AF264TY	AF6223
NULL	NULL	AF265AS	AF6049
NULL	NULL	AF265DO	AF6265
NULL	NULL	AF265QS	AF6265
NULL	NULL	AF266AG	AF6266
NULL	NULL	AF267NR	AF6267
NULL	NULL	AF267VA	AF6267
NULL	NULL	AF268GX	AF7461
NULL	NULL	AF268NV	AF6268
NULL	NULL	AF269LS	AF6269
NULL	NULL	AF270SG	AF6270
NULL	NULL	AF271ZL	AF6271
NULL	NULL	AF272GX	AF6272
NULL	NULL	AF273QS	AF6273
NULL	NULL	AF274AG	AF6274
NULL	NULL	AF275VA	AF6275
NULL	NULL	AF276NV	AF6276
NULL	NULL	AF277LS	AF6277
NULL	NULL	AF293HI	AF1293
NULL	NULL	AF305HZ	AF7305
NULL	NULL	AF311RV	AF7311
NULL	NULL	AF312BB	AF7312
NULL	NULL	AF331WG	AF7331
NULL	NULL	AF332TE	AF7332
NULL	NULL	AF336TE	AF7336
NULL	NULL	AF337HG	AF7337
NULL	NULL	AF337WG	AF7337
NULL	NULL	AF340TE	AF7340
NULL	NULL	AF341WG	AF7341
NULL	NULL	AF360CA	AF7360
NULL	NULL	AF361UH	AF7361
NULL	NULL	AF366CA	AF7366
